user_id,event_timestamp,batch_event_index,event_name,app_version,session_id,time_played,country,level,is_success,game_mode,device_category,mobile_brand_name,operating_system,ingestion_time,source_file
2.706115081015209e+16,1771831449056939.0,4,level_end,145.0,1771830445,99.1163,Germany,125.0,False,Single,desktop,Microsoft,Windows,2026-05-24T09:49:58,Intern Test Data - Data.csv
2.706115081015209e+16,1771830584546468.0,2,level_end,145.0,1771830445,114.0656,Germany,122.0,True,Single,desktop,Microsoft,Windows,2026-05-24T09:49:58,Intern Test Data - Data.csv
2.706115081015209e+16,1771831812964448.0,4,level_end,145.0,1771830445,109.1257,Germany,125.0,False,Single,desktop,Microsoft,Windows,2026-05-24T09:49:58,Intern Test Data - Data.csv
2.706115081015209e+16,1771830743233436.0,2,level_end,145.0,1771830445,145.218,Germany,123.0,True,Single,desktop,Microsoft,Windows,2026-05-24T09:49:58,Intern Test Data - Data.csv
,1771825656543646.0,2,level_end,145.0,1771822294,244.997,United States,14.0,True,Single,desktop,Apple,Macintosh,2026-05-24T09:49:58,Intern Test Data - Data.csv
9787595114587344.0,1771757610920612.0,2,level_end,145.0,1771756191,247.338,Australia,665.0,True,Single,desktop,Apple,Macintosh,2026-05-24T09:49:58,Intern Test Data - Data.csv
9787595114587344.0,1771756945663887.0,2,level_end,145.0,1771756191,739.926,Australia,663.0,True,,desktop,Apple,Macintosh,2026-05-24T09:49:58,Intern Test Data - Data.csv
9787595114587344.0,1771757963365035.0,2,level_end,145.0,1771756191,330.982,Australia,666.0,True,Single,desktop,Apple,Macintosh,2026-05-24T09:49:58,Intern Test Data - Data.csv
9787595114587344.0,1771757339418146.0,2,level_end,145.0,1771756191,374.232,Australia,664.0,True,Single,desktop,Apple,Macintosh,2026-05-24T09:49:58,Intern Test Data - Data.csv
9502037576544868.0,1771823640387335.0,2,level_end,145.0,1771822185,857.6826,United States,1464.0,True,Single,desktop,Microsoft,Windows,2026-05-24T09:49:58,Intern Test Data - Data.csv
